freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,DOM,NR,I551,BG41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	535983 	: 	708614 	782283 	828826 	948793 	972140 	962914 	1005882 	554377 	822175 	1049316 	1171438 	1200562 	: 
A,DOM,NR,I551,BG42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	494232 	: 	610947 	660842 	708396 	797835 	794201 	834341 	890509 	600317 	794853 	1044809 	1163323 	1203531 	: 
A,DOM,NR,I551,CH	4978657 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6177513 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7707080 	: 	7876619 	8016349 	8137268 	8287160 	8687529 	9006845 	9295897 	: 	10075103 	10599737 	10819790 	10958979 	: 
A,DOM,NR,I551,CH0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6177513 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7707080 	: 	7876619 	8016349 	8137268 	8287160 	8687529 	9006845 	9295897 	: 	10075103 	10599737 	10819790 	10958979 	: 
A,DOM,NR,I551,CH01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1293331 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1706265 	: 	1747330 	1810158 	1872547 	1891162 	1967961 	2075665 	2118972 	: 	2283454 	2426710 	2544270 	2539398 	: 
A,DOM,NR,I551,CH02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1344209 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1600234 	: 	1616857 	1601741 	1584114 	1600066 	1680752 	1736668 	1755069 	: 	2115321 	2140813 	2175345 	2115148 	: 
A,DOM,NR,I551,CH03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	303761 	: 	: 	: 	: 	: 	: 	: 	: 	: 	432848 	: 	439874 	479872 	512937 	513536 	532740 	549232 	576431 	: 	500764 	633141 	679196 	723882 	: 
A,DOM,NR,I551,CH04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	591543 	: 	: 	: 	: 	: 	: 	: 	: 	: 	790380 	: 	814118 	819367 	888930 	922023 	972793 	1046610 	1186268 	: 	759344 	1249745 	1394830 	1548515 	: 
A,DOM,NR,I551,CH05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1343688 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1697320 	: 	1722127 	1763779 	1722288 	1784556 	1871053 	1964496 	1991188 	: 	2281783 	2255894 	2203721 	2207812 	: 
A,DOM,NR,I551,CH06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	669664 	: 	: 	: 	: 	: 	: 	: 	: 	: 	862555 	: 	879446 	906495 	926213 	904994 	919351 	976901 	996843 	: 	1144742 	1128674 	1113704 	1123526 	: 
